mpn_match,MPN,Title,Images,category,url,description,status
SFFLCSBEBK,SFFLCSBEBK,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Beige, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFLCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/173910?queryID=f8382364f50968774dfc9846289a5b91&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Beige, Black Housing",[]
SFLCSYOW,SFLCSYOW,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Yellow, Office White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/164757?queryID=dd8ecdbea90dd4602f042260c1f98e6e&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Yellow, Office White Housing",[]
SFLCSBEBK,SFLCSBEBK,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Beige, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/160822?queryID=6f8d723c1d191b24f6a002c8f82aaa8e&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Beige, Black Housing",[]
SFFLCSORAL,SFFLCSORAL,Title not found,https://hubbellcdn.com/prodimage1200/WBP_SFFLCAL_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Orange, Almond Housing",['DISCONTINUED']
SFFSCSGNBK,SFFSCSGNBK,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Zircon Sleeves, Green, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCSGNBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323282?queryID=8743a0f35005f762cc63c5762f4d9770&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Green, Black Housing",[]
SFSCSBEG,SFSCSBEG,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Beige, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323309?queryID=6e106845fb75472a7ec3f74fd8740da9&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Beige, Gray Housing",[]
SFSCSRG,SFSCSRG,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Red, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323326?queryID=99675fb9bc8af13ed893dc8eb037f527&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Red, Gray Housing",[]
SFLCSGNOW,SFLCSGNOW,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Green, Office White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168476?queryID=75c2b2df8a4b1ad0d14d6d0085def83c&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Green, Office White Housing",[]
SFSCSBELA,SFSCSBELA,"Fiber Optic Connectors, Snap-Fit, SC, Simplex, Zircon Sleeves, Beige, Light Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323310?queryID=7b4eb8d531a2ec1be8d53f4094aa6648&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Beige, Light Almond Housing",['DISCONTINUED']
SFFLCSGNG,SFFLCSGNG,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Green, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCGNOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/175277?queryID=c4986f661706edcec8f8fcd58f36c55e&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Green, Gray Housing",[]
SFLCSRW,SFLCSRW,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Red, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168570?queryID=c99d77b0a663f740bc8bb03908a6dbb2&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Red, White Housing",[]
SFSCSAQG,SFSCSAQG,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Aqua, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323305?queryID=2d9a380e546e017ad0bfb82e7e8753c0&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Aqua, Gray Housing",[]
SFSCSBKG,SFSCSBKG,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Black, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323313?queryID=8103885891bf1deb8b1395ad7c721e0c&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Black, Gray Housing",[]
SFSCSORBK,SFSCSORBK,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Orange, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323320?queryID=baf2957e6f2dd4b48d5d578fa127b75d&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Orange, Black Housing",[]
SFSTSLA,SFSTSLA,"Fiber Optic, Snap Fit, ST, Black, ZirconiaCeramic, Light Almond",https://hubbellcdn.com/prodimage1200/WBP_SFSTSOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2487576?queryID=f62adccd289b93be7c610dd0fa57e774&indexName=Products,"Fiber Optic, Snap Fit, ST, Black, ZirconiaCeramic, Light Almond",['DISCONTINUED']
